
Nombre de imagen               PID Nombre de sesi¢n N£m. de ses Uso de memor Estado          Nombre de usuario                                  Tiempo de CP T¡tulo de ventana                                                       
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0         8 KB Unknown         NT AUTHORITY\SYSTEM                                    23:30:26 N/D                                                                     
SystemSettingsBroker.exe      2212 Console                    3    12.836 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
ApplicationFrameHost.exe      1840 Console                    3    36.896 KB Running         REFUGIOINTERIOR\sepla                                   0:00:00 Calculadora                                                             
firefox.exe                   1816 Console                    3   279.648 KB Running         REFUGIOINTERIOR\sepla                                   0:01:40 N/D                                                                     
onenoteim.exe                 1340 Console                    3    93.336 KB Running         REFUGIOINTERIOR\sepla                                   0:00:03 OneNote                                                                 
RuntimeBroker.exe             1248 Console                    3    21.608 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:00 N/D                                                                     
AcroRd32.exe                  3616 Console                    3    19.416 KB Running         REFUGIOINTERIOR\sepla                                   0:00:00 Creaci¢n de procesos en Java 1.pdf                                      
AcroRd32.exe                   176 Console                    3   106.056 KB Running         REFUGIOINTERIOR\sepla                                   0:00:13 Creaci¢n de procesos en Java 1.pdf - Adobe Acrobat Reader DC            
RdrCEF.exe                    7944 Console                    3    30.104 KB Running         REFUGIOINTERIOR\sepla                                   0:00:01 N/D                                                                     
RdrCEF.exe                    6488 Console                    3    51.992 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:02 N/D                                                                     
RdrCEF.exe                    9400 Console                    3    30.096 KB Unknown         REFUGIOINTERIOR\sepla                                   0:00:01 N/D                                                                     
smartscreen.exe               9880 Console                    3    20.612 KB Running         REFUGIOINTERIOR\sepla                                   0:00:00 OleMainThreadWndName                                                    
WindowsInternal.Composabl    10476 Console                    3    34.504 KB Running         REFUGIOINTERIOR\sepla                                   0:00:00 Microsoft Text Input Application                                        
